vehicle_type,driver_age,driving_experience_yrs,gender,license_valid,helmet_or_seatbelt,alcohol_detected,mobile_phone_use,fatigue_score,vehicle_age_years,last_service_months,past_accident_count
E-Rickshaw,28,10,Male,0,0,0,0,0.034,6,11,0
E-Rickshaw,57,12,Female,1,1,0,0,0.145,19,11,0
Auto-Rickshaw,19,1,Male,0,0,0,1,0.417,20,8,0
Two-Wheeler,46,28,Female,0,1,0,0,0.334,3,2,1
Two-Wheeler,63,34,Male,1,0,0,0,0.459,8,25,1
Tractor,35,17,Male,1,0,0,0,0.228,8,30,0
Tractor,38,20,Female,0,0,0,0,0.357,17,9,0
Truck/HCV,22,4,Female,1,1,0,1,0.513,4,4,2
Car/SUV,20,1,Male,1,1,0,0,0.302,17,19,1
Auto-Rickshaw,42,22,Male,1,0,0,0,0.239,25,16,2
Car/SUV,22,4,Male,1,1,0,0,0.28,22,5,0
Car/SUV,38,3,Male,1,0,0,1,0.276,9,11,0
Car/SUV,23,5,Female,1,0,0,1,0.237,12,34,0
Truck/HCV,56,2,Male,0,1,0,0,0.27,12,2,0
Car/SUV,35,17,Male,1,0,0,0,0.418,14,13,1
E-Rickshaw,25,7,Female,1,1,0,1,0.294,10,1,0
Truck/HCV,19,1,Male,1,0,1,0,0.482,16,35,0
Tractor,48,10,Other,1,0,0,0,0.201,17,17,0
Two-Wheeler,42,24,Male,0,1,0,1,0.376,1,17,0
Two-Wheeler,35,17,Male,1,1,0,1,0.05,7,3,0
Truck/HCV,51,32,Male,1,1,0,1,0.454,19,26,1
Tractor,26,8,Male,1,1,0,0,0.164,7,16,1
Bus,23,2,Male,0,1,0,1,0.449,11,20,1
Two-Wheeler,18,0,Male,1,1,0,0,0.166,14,31,0
E-Rickshaw,34,13,Male,1,0,0,0,0.033,16,8,0
E-Rickshaw,18,0,Male,1,1,0,1,0.17,15,8,1
Tempo,47,29,Male,1,0,0,0,0.295,19,9,2
Two-Wheeler,29,11,Male,1,0,0,0,0.498,19,10,0
E-Rickshaw,48,28,Male,1,1,0,0,0.116,19,29,0
Auto-Rickshaw,56,33,Male,1,1,0,0,0.29,3,36,0
Bus,65,4,Male,1,1,0,1,0.274,14,1,1
Two-Wheeler,50,30,Male,0,1,0,0,0.18,23,3,0
Truck/HCV,28,10,Male,1,0,0,0,0.363,23,20,0
Tractor,51,18,Male,1,1,0,0,0.299,7,17,0
Tempo,34,16,Female,1,0,0,0,0.231,12,29,0
Bus,33,9,Male,1,1,0,1,0.312,20,3,1
Two-Wheeler,57,24,Male,1,1,0,1,0.062,5,26,1
Two-Wheeler,19,1,Male,1,1,0,0,0.465,23,12,2
Auto-Rickshaw,59,19,Male,1,0,0,1,0.303,16,17,1
Auto-Rickshaw,51,1,Male,0,0,0,0,0.216,19,35,1
Auto-Rickshaw,26,8,Male,1,0,0,1,0.043,14,32,2
Tempo,22,4,Male,1,1,0,0,0.24,20,3,0
Two-Wheeler,46,22,Male,1,1,0,0,0.086,3,17,0
Tractor,57,28,Male,1,1,1,1,0.363,22,16,0
Car/SUV,41,21,Male,1,0,0,0,0.184,8,19,0
Tractor,34,13,Female,0,1,0,0,0.211,21,30,0
Auto-Rickshaw,54,20,Male,1,1,0,0,0.427,16,7,0
Tempo,29,11,Female,1,1,0,0,0.428,14,15,0
Two-Wheeler,59,19,Male,1,0,0,0,0.082,25,30,1
Tempo,34,15,Female,1,0,0,0,0.278,19,0,0
Bus,47,29,Male,1,1,0,0,0.524,19,14,0
Car/SUV,56,22,Male,1,1,0,0,0.539,5,14,2
Tractor,21,3,Male,1,0,0,0,0.112,23,1,0
Truck/HCV,30,12,Male,1,0,0,0,0.045,16,31,0
Bus,42,24,Male,1,1,0,0,0.23,21,20,0
Car/SUV,32,14,Female,0,1,0,0,0.193,12,14,0
Car/SUV,58,16,Male,1,0,0,1,0.148,5,5,1
Bus,19,1,Male,0,1,0,1,0.131,17,7,1
Bus,60,27,Female,0,0,0,0,0.225,8,18,0
Tractor,46,6,Male,0,0,0,1,0.185,7,9,1
Car/SUV,30,12,Female,0,0,0,0,0.105,16,9,0
Tempo,28,10,Female,1,0,0,0,0.101,6,22,0
E-Rickshaw,64,4,Male,0,1,0,0,0.152,13,18,2
Tractor,52,22,Male,1,1,0,0,0.336,6,12,0
Tempo,63,0,Male,1,0,0,0,0.219,24,6,0
Truck/HCV,33,15,Male,1,1,0,1,0.533,7,22,0
Bus,64,0,Female,0,1,0,0,0.257,5,10,1
Tractor,46,17,Male,1,0,0,0,0.382,17,12,0
Tempo,57,21,Female,1,0,0,1,0.327,4,27,0
E-Rickshaw,65,20,Female,1,0,0,0,0.417,10,36,1
Auto-Rickshaw,43,22,Male,1,1,1,0,0.4,15,26,0
Tempo,29,1,Male,1,1,0,0,0.088,6,20,0
Auto-Rickshaw,50,19,Male,0,0,0,0,0.097,9,3,2
Two-Wheeler,18,0,Male,1,1,0,1,0.174,14,34,2
Two-Wheeler,41,4,Female,1,0,0,0,0.373,8,11,0
Tempo,45,13,Male,1,0,0,0,0.281,9,1,0
Truck/HCV,43,5,Male,0,1,0,0,0.319,23,6,2
Tractor,52,31,Male,1,0,0,0,0.307,7,24,0
E-Rickshaw,20,2,Male,1,0,0,0,0.574,4,1,0
Tractor,32,14,Female,1,0,0,0,0.084,24,7,3
Tractor,46,4,Female,1,1,0,0,0.349,14,3,0
Truck/HCV,18,0,Female,1,0,0,0,0.203,9,20,0
Auto-Rickshaw,18,0,Male,0,0,0,0,0.232,1,4,0
Tractor,39,13,Male,1,1,0,0,0.31,11,8,0
Bus,64,8,Male,1,1,1,0,0.368,8,30,0
E-Rickshaw,50,6,Female,1,1,0,0,0.249,2,10,1
Two-Wheeler,31,1,Female,1,0,0,1,0.328,9,35,0
Two-Wheeler,24,6,Female,1,1,0,1,0.31,21,25,0
Two-Wheeler,43,9,Female,1,1,0,0,0.337,14,28,0
Two-Wheeler,20,2,Male,1,1,0,0,0.204,19,5,0
Auto-Rickshaw,64,9,Female,1,1,0,1,0.537,3,24,0
Tractor,31,13,Male,1,0,1,0,0.169,6,32,0
Tempo,50,25,Male,1,0,0,0,0.526,3,4,0
Tractor,45,24,Male,1,1,1,0,0.047,4,14,0
Tempo,30,12,Female,1,0,0,1,0.231,17,31,0
Two-Wheeler,59,27,Male,1,1,0,0,0.344,3,26,0
Car/SUV,53,0,Male,1,1,0,0,0.27,8,5,0
Tempo,40,8,Male,1,0,0,0,0.335,1,24,0
E-Rickshaw,23,5,Male,1,1,0,1,0.512,19,13,1
Tempo,58,20,Male,1,1,0,1,0.367,20,36,2
Truck/HCV,25,7,Male,1,1,0,0,0.392,7,1,0
Car/SUV,19,1,Male,1,0,0,1,0.377,4,11,0
E-Rickshaw,43,25,Male,1,0,0,0,0.212,11,30,0
Car/SUV,23,5,Male,0,1,0,1,0.344,16,4,1
Auto-Rickshaw,62,27,Male,1,0,0,0,0.124,6,7,0
Two-Wheeler,65,4,Male,1,0,0,1,0.183,9,27,0
Car/SUV,18,0,Male,0,0,0,0,0.234,19,6,1
Truck/HCV,22,4,Male,0,0,1,0,0.441,3,26,1
Tempo,35,8,Male,1,1,0,0,0.599,17,24,0
Tempo,25,7,Male,1,1,1,1,0.243,7,12,0
Auto-Rickshaw,32,14,Male,1,1,0,0,0.093,21,21,1
E-Rickshaw,42,3,Female,0,0,0,0,0.124,1,19,0
Two-Wheeler,44,26,Female,1,0,0,0,0.074,5,24,0
Tempo,55,28,Male,1,0,0,0,0.335,1,21,3
Truck/HCV,21,3,Female,1,0,0,0,0.506,2,17,1
Car/SUV,41,18,Male,1,0,0,1,0.349,22,24,1
Car/SUV,64,13,Female,1,1,0,0,0.272,18,4,0
Auto-Rickshaw,59,9,Male,0,1,0,0,0.218,19,24,0
Truck/HCV,51,26,Female,1,1,0,1,0.166,11,4,0
Truck/HCV,39,21,Male,0,1,0,1,0.593,19,6,0
Tractor,50,25,Female,1,0,0,0,0.301,11,29,1
Bus,42,5,Male,0,1,0,1,0.297,10,0,1
E-Rickshaw,35,17,Female,0,1,0,0,0.091,2,34,1
Bus,58,3,Male,1,1,0,0,0.275,22,31,0
Tempo,25,7,Male,1,0,0,0,0.098,22,18,1
Car/SUV,27,9,Male,1,0,0,0,0.241,23,0,0
Bus,60,0,Male,1,0,0,0,0.301,23,13,3
Tractor,22,3,Male,1,1,0,1,0.095,15,17,1
Car/SUV,32,14,Male,1,0,0,0,0.135,14,19,0
Tempo,45,5,Male,1,0,0,1,0.654,4,20,0
Bus,33,6,Male,0,1,0,1,0.447,13,7,0
Truck/HCV,53,25,Male,1,0,0,0,0.093,14,15,0
Auto-Rickshaw,62,27,Male,1,0,0,0,0.343,25,34,2
Tempo,20,2,Male,0,0,1,0,0.086,10,0,1
Two-Wheeler,41,12,Male,0,0,0,0,0.083,18,5,3
Two-Wheeler,63,2,Female,1,0,1,0,0.434,15,10,1
Car/SUV,50,7,Female,1,1,0,0,0.059,0,12,1
Car/SUV,47,20,Male,1,0,0,0,0.6,19,16,0
Two-Wheeler,33,15,Male,1,0,1,0,0.159,15,27,0
Bus,33,15,Male,0,1,0,0,0.197,11,33,3
Auto-Rickshaw,31,13,Female,1,0,0,0,0.561,23,5,0
Tractor,47,4,Male,0,0,0,0,0.311,2,29,1
E-Rickshaw,38,4,Male,1,1,0,1,0.303,11,12,0
Bus,50,1,Male,1,0,0,1,0.167,15,9,0
Auto-Rickshaw,23,5,Male,1,0,0,0,0.31,7,17,0
Auto-Rickshaw,63,15,Female,1,0,0,1,0.174,10,0,0
Bus,44,26,Male,1,0,0,1,0.382,21,8,0
Bus,32,14,Male,1,1,0,0,0.487,19,26,1
E-Rickshaw,44,9,Male,1,0,0,0,0.291,18,27,0
Tempo,34,16,Male,1,1,1,0,0.445,10,26,0
Tractor,36,18,Male,1,0,0,0,0.631,15,29,0
Two-Wheeler,45,6,Male,1,1,0,0,0.042,16,26,0
Tractor,18,0,Male,1,0,0,0,0.146,8,10,1
Two-Wheeler,18,0,Male,1,1,0,0,0.047,22,34,0
Tractor,51,20,Male,1,0,1,1,0.373,10,14,0
Tractor,49,3,Male,1,0,0,0,0.349,12,10,0
Tempo,59,34,Male,1,0,0,1,0.14,18,18,0
Two-Wheeler,51,33,Male,0,0,0,0,0.296,9,26,0
Bus,52,6,Male,1,1,0,0,0.29,12,11,0
Car/SUV,57,28,Male,1,1,0,1,0.368,5,6,0
Tractor,61,35,Female,1,0,0,0,0.09,16,6,0
Two-Wheeler,61,34,Male,1,0,0,1,0.494,2,16,1
E-Rickshaw,18,0,Male,1,0,0,0,0.065,1,3,1
Auto-Rickshaw,41,10,Male,1,1,1,1,0.186,16,25,0
Bus,46,24,Male,0,0,0,0,0.172,13,7,2
Two-Wheeler,36,4,Male,1,0,0,0,0.083,9,14,1
Tractor,40,4,Male,1,0,0,0,0.469,14,7,0
Auto-Rickshaw,50,28,Male,1,0,0,0,0.175,10,30,0
Tempo,49,12,Male,1,0,0,0,0.16,2,13,0
Bus,30,12,Male,1,1,1,0,0.049,15,8,0
Tractor,48,30,Male,1,1,1,0,0.049,1,33,0
E-Rickshaw,48,13,Male,1,1,0,1,0.402,8,10,0
Tempo,23,5,Male,1,0,1,0,0.442,11,11,0
Two-Wheeler,43,1,Male,1,0,0,0,0.295,2,30,1
Tractor,41,23,Male,1,1,1,1,0.332,0,6,0
E-Rickshaw,52,20,Male,1,1,0,0,0.337,5,28,1
Truck/HCV,45,2,Female,1,1,0,1,0.244,6,4,0
Truck/HCV,61,35,Male,1,1,0,0,0.253,13,1,0
Car/SUV,49,31,Male,1,0,0,1,0.258,19,22,0
Bus,25,7,Male,0,0,0,0,0.246,14,19,1
Tractor,65,25,Male,1,0,0,0,0.352,10,29,2
E-Rickshaw,41,23,Male,1,1,0,0,0.016,22,33,0
Car/SUV,26,8,Male,1,0,1,0,0.503,16,17,0
Bus,63,20,Male,1,1,0,0,0.299,12,21,0
E-Rickshaw,41,20,Male,1,0,0,1,0.133,2,3,1
Bus,33,15,Female,1,0,0,0,0.391,11,7,0
Car/SUV,51,30,Male,0,1,0,0,0.14,17,27,2
Tractor,59,12,Male,1,1,0,0,0.333,12,19,0
Two-Wheeler,52,31,Male,1,0,0,0,0.216,10,11,0
Tempo,46,28,Female,1,0,0,0,0.452,2,31,0
Tempo,56,2,Male,0,0,0,1,0.384,7,36,2
Tempo,32,5,Male,1,1,0,0,0.32,11,14,0
E-Rickshaw,19,0,Male,0,1,0,0,0.494,23,30,1
Tempo,28,2,Male,1,1,0,1,0.162,16,27,0
Auto-Rickshaw,29,11,Male,1,1,0,0,0.391,3,2,0
Tempo,58,10,Female,0,1,0,1,0.294,19,15,0
Auto-Rickshaw,18,0,Female,1,0,0,0,0.313,14,8,0
Bus,52,19,Male,1,1,0,0,0.467,18,9,1
Two-Wheeler,41,15,Male,1,0,0,0,0.191,19,24,2
Tempo,49,9,Male,1,1,0,0,0.243,12,15,0
Auto-Rickshaw,65,27,Male,0,0,0,0,0.249,23,9,0
Auto-Rickshaw,48,19,Male,1,1,0,0,0.334,18,7,1
Auto-Rickshaw,37,12,Female,1,0,0,1,0.381,7,2,2
Bus,54,25,Male,1,1,0,0,0.484,13,8,0
Auto-Rickshaw,41,15,Male,1,1,0,0,0.4,9,30,1
Truck/HCV,59,28,Male,0,0,0,0,0.334,17,30,0
E-Rickshaw,29,3,Male,1,1,0,0,0.154,20,10,1
Bus,63,3,Female,1,0,0,0,0.207,24,2,1
Tractor,43,15,Male,1,0,1,0,0.407,11,6,0
Bus,38,20,Male,0,1,0,0,0.393,21,5,0
Tempo,36,11,Male,0,1,0,1,0.317,1,24,3
Car/SUV,65,35,Male,0,0,0,1,0.342,25,5,3
Car/SUV,57,7,Male,1,0,0,1,0.239,4,8,1
Tempo,21,3,Male,1,1,0,0,0.139,11,7,1
Car/SUV,43,12,Male,0,1,0,0,0.078,25,14,0
Bus,65,22,Female,1,1,0,0,0.24,3,36,0
Auto-Rickshaw,26,2,Male,1,1,0,0,0.409,7,5,0
E-Rickshaw,21,3,Male,1,1,0,0,0.271,13,18,0
Tempo,60,14,Other,1,0,0,1,0.284,11,17,0
Bus,57,23,Female,0,1,0,0,0.197,16,0,0
Bus,62,21,Male,0,0,0,1,0.103,22,1,1
Tempo,35,17,Male,1,0,0,0,0.189,13,4,0
Tractor,22,3,Male,1,0,0,1,0.023,0,31,0
Car/SUV,46,23,Male,1,0,0,1,0.282,14,24,0
Two-Wheeler,36,18,Male,1,1,0,0,0.626,22,24,3
Car/SUV,50,20,Male,0,0,0,0,0.271,9,30,0
E-Rickshaw,26,8,Male,0,0,0,1,0.16,12,10,1
Car/SUV,34,16,Female,1,1,0,1,0.333,2,8,0
Auto-Rickshaw,62,14,Male,1,0,0,0,0.151,25,22,0
E-Rickshaw,28,2,Male,0,1,0,0,0.252,2,33,1
Two-Wheeler,60,35,Male,0,1,1,0,0.522,12,23,1
E-Rickshaw,60,4,Male,1,1,0,0,0.185,5,14,0
Truck/HCV,41,0,Male,0,1,0,0,0.704,21,15,2
Bus,37,19,Male,1,0,0,0,0.102,0,24,0
Two-Wheeler,40,13,Female,0,1,0,0,0.487,18,20,1
E-Rickshaw,19,1,Female,1,0,0,0,0.453,19,27,0
Tempo,45,2,Male,0,1,0,0,0.251,7,7,1
Truck/HCV,59,19,Male,1,0,0,0,0.076,0,7,1
Bus,31,13,Male,1,1,0,0,0.11,24,4,0
Car/SUV,31,4,Male,1,0,0,0,0.728,10,15,3
Car/SUV,29,3,Male,1,0,0,1,0.096,15,18,1
Auto-Rickshaw,61,20,Female,1,1,0,0,0.238,17,32,1
Car/SUV,31,13,Female,0,0,0,1,0.146,10,35,1
Two-Wheeler,43,14,Female,1,0,0,0,0.516,9,10,0
Two-Wheeler,25,7,Male,0,0,0,0,0.459,4,15,0
Two-Wheeler,52,8,Male,1,1,0,1,0.263,12,20,0
Tempo,39,13,Male,1,0,1,0,0.132,20,23,1
Tempo,27,9,Female,1,1,1,0,0.704,3,20,0
Tractor,27,9,Male,1,1,0,0,0.384,17,35,1
Two-Wheeler,36,18,Female,0,1,0,0,0.15,5,13,0
Auto-Rickshaw,23,5,Male,1,1,0,0,0.093,10,10,1
Truck/HCV,39,21,Male,1,0,0,1,0.208,10,2,0
Car/SUV,33,9,Male,0,0,0,0,0.551,24,28,0
Truck/HCV,36,18,Male,1,0,0,1,0.483,6,4,0
Car/SUV,44,8,Female,0,1,1,1,0.256,22,33,0
Truck/HCV,26,8,Male,1,1,0,0,0.489,18,21,1
Truck/HCV,36,13,Male,0,0,0,0,0.045,22,12,3
Bus,42,24,Male,1,1,1,0,0.151,13,34,2
E-Rickshaw,18,0,Male,1,1,0,0,0.086,24,3,0
Tempo,58,27,Male,1,0,0,0,0.181,15,17,0
Truck/HCV,58,24,Male,0,0,0,0,0.162,21,30,2
Tractor,47,8,Male,0,1,0,1,0.019,3,25,2
Bus,26,8,Male,0,1,0,0,0.167,20,34,2
Auto-Rickshaw,42,21,Male,1,0,1,0,0.555,6,4,0
Tractor,44,24,Male,1,0,1,0,0.455,5,16,0
E-Rickshaw,22,4,Female,0,1,0,1,0.227,15,5,0
Tractor,60,28,Male,1,0,0,0,0.501,11,14,1
Car/SUV,42,23,Male,1,1,0,0,0.295,21,32,1
Auto-Rickshaw,50,32,Male,0,1,0,1,0.191,13,35,0
Car/SUV,46,28,Male,1,1,0,1,0.271,18,9,2
E-Rickshaw,65,11,Male,1,0,0,0,0.168,17,1,2
E-Rickshaw,29,11,Male,0,1,0,0,0.526,17,32,0
Auto-Rickshaw,28,10,Male,1,0,0,0,0.427,9,19,1
Auto-Rickshaw,20,2,Male,1,1,0,0,0.393,22,26,0
Auto-Rickshaw,51,32,Female,1,0,0,0,0.561,1,9,0
Bus,33,15,Male,1,1,0,1,0.21,15,36,1
Truck/HCV,24,6,Male,1,1,0,0,0.117,8,6,1
Auto-Rickshaw,65,29,Female,1,0,0,0,0.249,10,6,0
Tractor,33,5,Male,0,0,1,0,0.199,22,33,0
Tractor,51,27,Male,1,0,0,1,0.118,19,25,0
Car/SUV,56,7,Male,0,1,1,0,0.265,3,24,1
Car/SUV,64,11,Female,1,0,0,0,0.409,12,15,1
Tractor,64,16,Male,1,1,0,0,0.218,14,12,0
Truck/HCV,46,28,Male,0,1,0,0,0.081,16,0,1
E-Rickshaw,65,22,Female,1,1,0,1,0.088,15,6,0
Tempo,54,15,Male,1,1,0,0,0.264,18,13,1
Two-Wheeler,64,12,Female,0,0,0,0,0.207,5,12,2
Car/SUV,37,7,Male,0,1,0,0,0.191,8,9,0
Tractor,31,3,Male,0,1,0,1,0.19,4,36,0
E-Rickshaw,49,5,Male,1,1,0,1,0.019,15,28,0
Car/SUV,57,10,Male,1,0,0,0,0.16,7,27,1
Car/SUV,21,3,Male,1,0,0,0,0.336,3,16,0
Car/SUV,43,13,Female,1,0,0,1,0.645,1,12,2
E-Rickshaw,50,17,Female,1,0,0,0,0.27,18,9,1
Auto-Rickshaw,37,14,Male,1,0,0,0,0.39,17,17,2
Tempo,63,35,Male,1,1,0,1,0.152,10,20,0
Bus,29,11,Female,1,1,0,0,0.374,15,3,1
Auto-Rickshaw,39,5,Male,0,1,0,1,0.214,17,11,1
Tractor,31,13,Female,1,0,0,1,0.342,13,31,0
Two-Wheeler,58,28,Male,0,0,0,0,0.407,2,32,0
Car/SUV,63,19,Male,1,1,0,0,0.056,24,4,0
Auto-Rickshaw,63,26,Male,1,0,1,1,0.298,0,17,1
Car/SUV,35,1,Male,1,0,0,1,0.076,17,26,1
Tractor,64,2,Male,0,1,1,1,0.301,4,9,0
Auto-Rickshaw,59,4,Male,1,1,0,0,0.373,24,26,1
Tempo,42,16,Female,1,0,0,0,0.241,12,26,0
Bus,57,34,Female,1,1,0,1,0.255,23,6,1
Auto-Rickshaw,48,7,Male,1,1,0,0,0.412,7,33,0
E-Rickshaw,57,3,Male,1,1,0,0,0.084,17,21,1
Car/SUV,54,5,Male,0,1,0,1,0.086,23,15,0
Tractor,65,32,Male,0,1,0,0,0.326,7,23,2
Two-Wheeler,37,19,Male,1,0,0,0,0.548,22,24,0
Bus,43,25,Male,0,0,0,0,0.366,13,15,1
Car/SUV,22,4,Male,0,0,0,0,0.102,1,25,0
Bus,20,2,Male,1,0,0,1,0.091,11,28,0
Truck/HCV,61,20,Male,0,1,1,0,0.08,7,22,0
Two-Wheeler,49,26,Male,1,1,0,0,0.137,10,34,2
Tempo,54,16,Male,1,0,1,1,0.118,14,3,0
Truck/HCV,39,1,Male,1,0,0,1,0.562,16,33,0
Truck/HCV,31,13,Male,1,1,0,0,0.152,7,19,0
Auto-Rickshaw,47,12,Male,1,1,0,0,0.044,17,4,3
Tempo,43,20,Male,1,1,0,0,0.291,17,31,0
Tractor,50,12,Male,0,1,0,0,0.197,11,21,1
E-Rickshaw,21,3,Male,1,1,1,0,0.194,13,30,3
Truck/HCV,28,0,Male,1,1,0,0,0.109,24,3,0
E-Rickshaw,61,14,Female,1,1,0,0,0.035,16,15,2
Tempo,20,2,Female,0,0,0,1,0.275,23,28,2
Two-Wheeler,31,13,Male,0,0,0,1,0.592,4,28,0
Truck/HCV,58,1,Male,1,0,0,0,0.307,20,20,2
Bus,54,32,Male,0,0,0,1,0.258,2,13,0
Car/SUV,20,2,Male,1,1,0,0,0.172,13,18,0
Truck/HCV,40,22,Male,1,1,1,0,0.224,2,11,1
Auto-Rickshaw,22,3,Female,1,1,0,0,0.38,0,6,0
Auto-Rickshaw,24,6,Male,0,0,0,0,0.41,19,23,0
Bus,29,1,Male,0,1,0,1,0.228,23,29,0
Truck/HCV,44,6,Male,1,1,0,1,0.376,14,8,0
Two-Wheeler,59,4,Male,0,0,0,1,0.665,3,22,1
E-Rickshaw,53,12,Male,0,1,0,0,0.437,21,14,2
Truck/HCV,55,28,Male,1,1,0,0,0.614,17,24,3
Car/SUV,42,24,Male,1,0,0,0,0.116,0,5,0
Tractor,18,0,Female,0,1,0,0,0.539,23,5,0
Bus,48,19,Male,1,0,0,1,0.22,10,23,3
Bus,18,0,Male,1,0,0,0,0.314,2,27,2
Tempo,23,4,Male,0,1,0,0,0.358,3,19,0
Tempo,48,6,Male,1,0,0,0,0.398,15,19,2
Tractor,18,0,Male,0,0,0,0,0.315,4,19,0
Bus,36,18,Male,1,1,0,1,0.229,4,12,1
Two-Wheeler,59,14,Male,1,1,0,0,0.454,23,7,0
Tractor,40,5,Female,1,0,0,0,0.293,17,30,1
Truck/HCV,46,26,Male,0,1,0,0,0.466,8,11,0
Tempo,25,7,Male,0,1,0,0,0.314,6,24,0
Car/SUV,46,3,Female,1,0,0,0,0.225,12,17,2
Truck/HCV,36,9,Male,1,1,0,0,0.568,24,14,0
Truck/HCV,52,14,Female,1,0,0,0,0.429,15,34,3
Bus,57,29,Male,1,0,0,1,0.172,22,17,0
Truck/HCV,65,22,Male,0,0,0,0,0.214,17,21,1
Car/SUV,40,20,Male,1,0,0,1,0.153,22,13,0
Bus,40,13,Male,1,1,0,0,0.561,8,28,0
Bus,65,7,Male,1,0,0,0,0.098,17,5,2
Auto-Rickshaw,25,7,Male,0,1,0,1,0.424,10,31,0
Tempo,61,6,Male,1,1,0,0,0.225,6,19,0
Truck/HCV,65,12,Female,1,1,0,0,0.162,3,31,1
Tractor,63,26,Male,0,0,0,0,0.274,24,12,0
Two-Wheeler,23,5,Male,1,1,0,0,0.29,20,12,0
Two-Wheeler,36,0,Female,1,1,0,1,0.25,23,13,0
Car/SUV,57,23,Male,1,0,0,0,0.103,2,33,1
Two-Wheeler,22,4,Male,1,0,0,0,0.351,22,34,2
E-Rickshaw,65,24,Male,1,1,0,1,0.525,21,23,0
Bus,59,6,Male,0,0,0,1,0.261,13,7,2
Tempo,44,26,Male,1,1,0,1,0.515,3,28,3
Car/SUV,60,7,Male,0,1,0,0,0.36,0,28,2
E-Rickshaw,44,26,Male,1,0,0,0,0.242,20,25,2
Truck/HCV,52,16,Male,1,1,0,1,0.121,23,5,2
E-Rickshaw,48,20,Female,0,0,0,0,0.209,21,3,0
Car/SUV,40,22,Male,1,1,0,0,0.654,8,13,2
Tempo,43,25,Female,1,0,0,1,0.452,0,13,0
Auto-Rickshaw,64,17,Male,1,0,0,0,0.126,17,23,1
Car/SUV,41,12,Male,1,0,0,1,0.406,6,13,0
E-Rickshaw,64,17,Male,1,0,0,0,0.064,0,29,0
Two-Wheeler,60,30,Male,0,1,1,0,0.141,14,33,1
E-Rickshaw,48,14,Male,1,1,0,1,0.423,13,14,0
Car/SUV,46,16,Female,0,1,0,0,0.127,0,20,0
Auto-Rickshaw,28,10,Female,1,1,0,0,0.326,7,9,0
E-Rickshaw,60,26,Male,1,0,0,0,0.244,2,11,1
Two-Wheeler,56,19,Male,1,1,0,1,0.159,25,14,0
Two-Wheeler,44,22,Male,1,1,0,1,0.45,1,6,0
Tractor,40,14,Male,0,1,0,0,0.299,17,8,0
E-Rickshaw,43,25,Female,0,0,0,1,0.307,3,35,0
Truck/HCV,40,13,Male,1,1,0,1,0.213,3,30,1
E-Rickshaw,50,31,Male,1,1,0,1,0.182,22,1,0
Auto-Rickshaw,34,5,Male,0,1,0,0,0.187,24,27,3
Tempo,34,1,Male,1,1,0,0,0.079,16,19,0
Tempo,31,7,Male,0,0,0,0,0.346,15,15,0
Truck/HCV,50,1,Female,1,1,0,1,0.142,4,22,0
Two-Wheeler,56,27,Male,0,1,0,0,0.329,9,23,0
Truck/HCV,26,2,Male,1,1,0,0,0.595,13,7,0
Bus,59,34,Male,1,1,1,1,0.371,6,35,3
E-Rickshaw,31,13,Male,1,1,0,1,0.401,7,4,2
Auto-Rickshaw,32,14,Female,1,0,1,0,0.25,11,15,0
Bus,18,0,Male,0,1,0,0,0.166,10,7,0
Car/SUV,18,0,Male,1,0,0,0,0.183,24,19,1
Car/SUV,31,13,Male,1,1,0,1,0.326,12,18,1
Car/SUV,47,23,Male,1,0,0,0,0.292,21,5,0
Two-Wheeler,18,0,Female,0,0,0,1,0.507,18,25,2
Two-Wheeler,57,1,Male,1,1,0,0,0.678,8,5,1
Bus,39,18,Female,1,1,0,0,0.026,21,26,1
Car/SUV,64,29,Male,1,1,0,0,0.501,1,27,0
Tempo,62,1,Male,1,0,1,0,0.457,1,17,0
Two-Wheeler,61,0,Male,1,0,0,0,0.529,10,23,0
Auto-Rickshaw,65,27,Male,1,1,0,1,0.44,9,4,0
Bus,33,15,Female,1,0,0,0,0.184,9,19,0
Bus,64,18,Male,1,1,0,1,0.159,0,32,0
Car/SUV,45,1,Female,1,1,0,0,0.236,13,33,3
Two-Wheeler,19,1,Female,0,1,0,0,0.575,12,1,0
Truck/HCV,57,5,Female,1,1,0,0,0.275,0,0,0
Tempo,58,20,Male,1,0,0,0,0.363,5,34,0
Tempo,62,30,Male,0,1,0,0,0.436,12,31,2
Tractor,24,6,Male,1,1,0,1,0.227,6,32,1
Bus,58,9,Female,0,1,1,0,0.191,14,19,3
E-Rickshaw,49,5,Male,0,1,0,0,0.116,23,27,0
Bus,60,9,Male,1,1,1,1,0.165,10,3,0
Tempo,18,0,Male,1,1,0,0,0.506,11,13,0
Bus,30,6,Male,1,0,0,1,0.354,16,36,2
Bus,18,0,Male,1,1,0,0,0.231,15,16,0
Tractor,26,8,Male,1,1,0,0,0.415,13,18,2
Auto-Rickshaw,18,0,Male,1,1,0,0,0.119,23,7,0
E-Rickshaw,58,3,Female,0,0,0,0,0.044,1,11,0
Two-Wheeler,43,23,Female,1,1,0,0,0.211,2,34,0
Truck/HCV,62,0,Male,1,0,0,0,0.102,19,34,0
Car/SUV,59,6,Male,1,1,0,0,0.203,2,4,0
Tempo,58,17,Male,1,0,0,0,0.427,10,30,0
Tractor,18,0,Male,0,1,0,0,0.346,12,19,1
