city,road_type,primary_cause,severity,year,month,hour,vehicles_involved,injuries,fatalities,speed_kmh,visibility_m,road_lighting,road_divider,ambulance_response_min
Delhi,Urban Arterial,Over-speeding,Minor Injury,2020,4,18,1,0,0,10.0,381,Non-Functional,Present,9.3
Chennai,Urban Arterial,Pedestrian Jaywalking,Property Damage Only,2018,11,21,2,1,0,48.4,550,Absent,Absent,14.4
Lucknow,City Ring Road,Fog/Low Visibility,Minor Injury,2019,12,7,1,0,0,48.7,753,Absent,Present,5.2
Ranchi,National Highway,Poor Road Condition,Minor Injury,2022,11,9,4,3,0,33.6,829,Non-Functional,Absent,12.4
Pune,Hill Road,Pothole,Grievous Injury,2019,2,10,1,0,0,48.9,734,Functional,Absent,16.5
Guwahati,Expressway,Animal on Road,Grievous Injury,2022,12,2,1,5,0,58.6,849,Functional,Present,18.9
Patna,Village Road,Brake Failure,Minor Injury,2018,6,23,2,6,0,60.8,232,Functional,Absent,21.5
Ranchi,Hill Road,Signal Jumping,Property Damage Only,2021,3,18,2,4,0,36.9,964,Functional,Absent,6.8
Chennai,State Highway,Signal Jumping,Fatal,2018,2,10,4,4,1,97.0,585,Absent,Absent,23.7
Hyderabad,Industrial Zone,Drunk Driving,Property Damage Only,2023,3,13,2,3,0,21.4,463,Functional,Present,24.3
Bhopal,Village Road,Overloaded Vehicle,Property Damage Only,2022,6,1,1,6,0,74.4,449,Functional,Present,10.4
Indore,City Ring Road,Pedestrian Jaywalking,Minor Injury,2019,6,12,4,2,0,28.3,790,Non-Functional,Absent,22.5
Delhi,State Highway,Signal Jumping,Grievous Injury,2022,3,6,3,5,0,26.2,44,Functional,Present,26.0
Jaipur,Expressway,Pedestrian Jaywalking,Minor Injury,2019,6,23,3,3,0,70.1,624,Absent,Absent,28.0
Ghaziabad,Industrial Zone,Mobile Phone Use,Grievous Injury,2021,2,11,2,3,0,57.2,613,Absent,Absent,29.1
Nashik,Coastal Road,Overloaded Vehicle,Fatal,2021,10,18,2,3,1,31.4,423,Non-Functional,Absent,13.3
Rajkot,Expressway,Poor Road Condition,Minor Injury,2024,11,10,4,6,0,61.8,678,Non-Functional,Absent,36.1
Mumbai,Urban Arterial,Over-speeding,Minor Injury,2019,3,1,4,1,0,81.8,865,Functional,Absent,27.9
Amritsar,National Highway,Animal on Road,Minor Injury,2021,8,16,3,3,0,36.3,798,Functional,Present,13.7
Nashik,Coastal Road,Pedestrian Jaywalking,Minor Injury,2023,6,9,4,5,0,34.8,458,Functional,Present,21.8
Delhi,Hill Road,Mobile Phone Use,Property Damage Only,2024,5,10,3,3,0,52.1,539,Functional,Present,4.0
Mumbai,Expressway,Driver Fatigue,Minor Injury,2018,5,7,4,4,0,50.2,917,Functional,Absent,15.9
Meerut,Hill Road,Drunk Driving,Minor Injury,2022,5,19,2,1,0,70.8,601,Functional,Absent,22.9
Lucknow,National Highway,Fog/Low Visibility,Property Damage Only,2024,1,6,3,5,0,40.9,105,Functional,Absent,15.7
Visakhapatnam,National Highway,Driver Fatigue,Grievous Injury,2023,5,7,3,0,0,80.2,92,Functional,Present,26.5
Chennai,Hill Road,Mobile Phone Use,Grievous Injury,2023,7,17,3,0,0,60.9,89,Absent,Absent,27.8
Bhopal,Urban Arterial,Rain/Wet Road,Grievous Injury,2022,2,3,1,6,0,64.8,422,Absent,Absent,4.2
Agra,City Ring Road,Tyre Burst,Minor Injury,2023,2,14,4,3,0,69.5,844,Non-Functional,Absent,22.5
Faridabad,City Ring Road,Pothole,Minor Injury,2022,7,15,3,3,0,42.0,864,Functional,Present,20.1
Meerut,Coastal Road,Fog/Low Visibility,Grievous Injury,2024,3,13,2,5,0,38.4,423,Functional,Absent,18.1
Bengaluru,Village Road,Poor Road Condition,Fatal,2018,5,20,3,0,2,46.4,950,Functional,Present,6.8
Chennai,City Ring Road,Drunk Driving,Minor Injury,2021,9,22,2,2,0,90.0,167,Functional,Absent,32.7
Jaipur,National Highway,Over-speeding,Minor Injury,2021,10,17,4,5,0,15.9,656,Absent,Present,14.8
Allahabad,State Highway,Tyre Burst,Grievous Injury,2024,1,4,1,4,0,29.9,885,Functional,Absent,20.1
Meerut,State Highway,Rain/Wet Road,Property Damage Only,2023,8,16,4,3,0,76.0,998,Non-Functional,Absent,17.1
Visakhapatnam,Urban Arterial,Driver Fatigue,Grievous Injury,2024,10,8,2,1,0,65.1,128,Absent,Absent,7.2
Kochi,City Ring Road,Pedestrian Jaywalking,Property Damage Only,2021,5,18,1,2,0,86.9,140,Functional,Present,15.8
Ahmedabad,Industrial Zone,Over-speeding,Minor Injury,2023,2,14,1,2,0,29.7,106,Functional,Absent,12.9
Jaipur,City Ring Road,Fog/Low Visibility,Grievous Injury,2024,6,15,3,5,0,19.4,41,Functional,Absent,16.1
Meerut,Village Road,Wrong-Side Driving,Property Damage Only,2018,6,22,3,0,0,25.7,537,Functional,Absent,24.4
Raipur,Urban Arterial,Pedestrian Jaywalking,Grievous Injury,2021,3,20,3,4,0,84.4,970,Functional,Absent,21.9
Hyderabad,Urban Arterial,Brake Failure,Fatal,2024,2,1,4,1,3,67.8,873,Functional,Present,24.9
Ranchi,Industrial Zone,Mobile Phone Use,Grievous Injury,2018,1,9,4,0,0,87.0,89,Functional,Absent,16.5
Patna,Village Road,Signal Jumping,Minor Injury,2019,6,22,3,5,0,69.1,170,Functional,Absent,30.0
Rajkot,Urban Arterial,Tyre Burst,Minor Injury,2021,6,16,2,1,0,29.7,149,Non-Functional,Present,13.7
Meerut,Urban Arterial,Pedestrian Jaywalking,Property Damage Only,2023,3,4,2,6,0,81.6,682,Absent,Present,10.4
Chennai,Coastal Road,Drunk Driving,Minor Injury,2024,7,12,3,2,0,18.1,275,Non-Functional,Absent,20.8
Surat,Industrial Zone,Pothole,Property Damage Only,2021,2,16,2,2,0,63.5,83,Functional,Absent,11.0
Delhi,City Ring Road,Fog/Low Visibility,Minor Injury,2018,7,2,1,2,0,77.4,884,Functional,Absent,28.1
Amritsar,Industrial Zone,Pothole,Grievous Injury,2020,11,20,1,6,0,47.1,841,Functional,Absent,10.9
Nashik,State Highway,Poor Road Condition,Grievous Injury,2024,1,8,3,0,0,49.6,116,Absent,Absent,7.1
Amritsar,Hill Road,Signal Jumping,Minor Injury,2022,5,5,4,6,0,53.8,863,Functional,Absent,7.9
Hyderabad,Urban Arterial,Rain/Wet Road,Property Damage Only,2022,9,6,4,3,0,69.6,882,Functional,Present,16.2
Patna,Hill Road,Pothole,Minor Injury,2020,12,1,1,2,0,43.3,643,Absent,Absent,14.3
Amritsar,Expressway,Wrong-Side Driving,Minor Injury,2023,1,20,2,0,0,89.4,781,Non-Functional,Absent,19.2
Amritsar,State Highway,Pedestrian Jaywalking,Property Damage Only,2019,1,20,2,0,0,57.7,913,Non-Functional,Present,28.8
Jaipur,National Highway,Driver Fatigue,Minor Injury,2022,6,18,1,5,0,70.6,643,Functional,Absent,4.9
Ranchi,Urban Arterial,Rain/Wet Road,Minor Injury,2022,5,13,2,5,0,53.0,732,Functional,Absent,36.4
Raipur,Urban Arterial,Over-speeding,Minor Injury,2021,1,14,1,5,0,94.0,879,Absent,Absent,15.6
Raipur,State Highway,Pedestrian Jaywalking,Grievous Injury,2021,2,23,1,4,0,55.8,247,Non-Functional,Absent,8.5
Visakhapatnam,National Highway,Rain/Wet Road,Minor Injury,2024,11,23,1,0,0,66.6,268,Non-Functional,Absent,11.6
Lucknow,Industrial Zone,Rain/Wet Road,Property Damage Only,2023,7,4,3,4,0,48.3,859,Absent,Present,21.0
Kochi,Expressway,Poor Road Condition,Minor Injury,2024,8,11,3,5,0,62.0,696,Non-Functional,Absent,21.5
Kolkata,State Highway,Brake Failure,Grievous Injury,2021,4,11,3,2,0,48.3,704,Functional,Present,30.5
Lucknow,Hill Road,Overloaded Vehicle,Minor Injury,2020,5,7,1,6,0,54.6,822,Non-Functional,Present,25.1
Bhopal,City Ring Road,Pedestrian Jaywalking,Minor Injury,2018,2,9,3,0,0,47.9,953,Absent,Present,24.4
Mysuru,Urban Arterial,Animal on Road,Minor Injury,2021,12,3,3,1,0,72.5,446,Absent,Absent,21.3
Nashik,Industrial Zone,Drunk Driving,Minor Injury,2022,3,5,3,5,0,87.0,67,Non-Functional,Absent,13.4
Allahabad,Coastal Road,Driver Fatigue,Grievous Injury,2020,11,21,1,5,0,52.7,950,Functional,Present,21.1
Varanasi,Expressway,Pothole,Minor Injury,2024,5,9,2,6,0,63.7,286,Non-Functional,Absent,17.0
Varanasi,National Highway,Driver Fatigue,Grievous Injury,2023,10,7,1,3,0,58.8,675,Functional,Absent,7.7
Raipur,Hill Road,Mobile Phone Use,Minor Injury,2022,4,15,4,1,0,64.5,847,Absent,Absent,24.3
Delhi,Village Road,Tyre Burst,Fatal,2019,5,7,3,2,0,65.0,508,Non-Functional,Present,21.9
Nashik,National Highway,Tyre Burst,Property Damage Only,2022,5,21,2,5,0,24.3,922,Non-Functional,Absent,20.1
Indore,Urban Arterial,Signal Jumping,Minor Injury,2023,12,1,4,2,0,22.7,844,Functional,Absent,12.8
Visakhapatnam,National Highway,Rain/Wet Road,Property Damage Only,2020,2,23,3,2,0,67.4,677,Non-Functional,Present,9.1
Ranchi,National Highway,Pedestrian Jaywalking,Minor Injury,2024,6,23,3,5,0,61.8,422,Absent,Present,17.1
Mumbai,Coastal Road,Animal on Road,Minor Injury,2024,1,0,2,3,0,62.3,349,Non-Functional,Absent,20.0
Chandigarh,Expressway,Signal Jumping,Minor Injury,2024,7,12,3,0,0,71.3,999,Functional,Absent,26.2
Rajkot,City Ring Road,Signal Jumping,Property Damage Only,2023,5,7,2,4,0,90.0,907,Functional,Present,23.3
Ranchi,City Ring Road,Overloaded Vehicle,Minor Injury,2024,4,2,4,2,0,52.0,138,Non-Functional,Present,25.1
Bhopal,National Highway,Drunk Driving,Property Damage Only,2021,1,11,1,5,0,81.8,615,Non-Functional,Present,19.6
Ranchi,National Highway,Rain/Wet Road,Fatal,2024,8,11,4,4,1,39.3,280,Functional,Absent,30.9
Coimbatore,Expressway,Animal on Road,Grievous Injury,2021,8,1,3,4,0,52.8,173,Absent,Present,4.0
Nagpur,Industrial Zone,Drunk Driving,Minor Injury,2018,1,5,2,5,0,44.9,36,Non-Functional,Present,7.1
Lucknow,State Highway,Pothole,Minor Injury,2018,9,11,4,1,0,44.9,378,Functional,Absent,19.1
Mumbai,National Highway,Brake Failure,Minor Injury,2022,8,8,2,4,0,61.5,848,Non-Functional,Absent,14.2
Faridabad,Expressway,Fog/Low Visibility,Grievous Injury,2021,7,0,2,6,0,86.4,180,Non-Functional,Absent,18.2
Jaipur,City Ring Road,Overloaded Vehicle,Fatal,2020,3,22,4,4,3,54.3,229,Functional,Present,24.2
Meerut,Industrial Zone,Rain/Wet Road,Fatal,2023,9,20,1,2,0,57.6,186,Functional,Absent,21.5
Jaipur,State Highway,Mobile Phone Use,Minor Injury,2020,11,23,4,5,0,56.0,132,Non-Functional,Present,4.0
Coimbatore,Coastal Road,Pedestrian Jaywalking,Minor Injury,2023,3,5,4,5,0,14.9,841,Non-Functional,Absent,18.1
Hyderabad,Industrial Zone,Mobile Phone Use,Grievous Injury,2023,7,19,4,5,0,31.8,520,Absent,Absent,15.7
Varanasi,Hill Road,Driver Fatigue,Grievous Injury,2024,7,23,1,6,0,72.3,308,Functional,Absent,21.9
Hyderabad,Expressway,Signal Jumping,Minor Injury,2018,5,3,2,5,0,94.0,226,Functional,Absent,7.4
Bengaluru,Urban Arterial,Tyre Burst,Minor Injury,2022,3,1,4,1,0,24.1,339,Non-Functional,Present,25.2
Surat,Village Road,Pothole,Minor Injury,2022,12,14,3,4,0,77.6,760,Non-Functional,Absent,11.3
Bhopal,Hill Road,Over-speeding,Grievous Injury,2022,8,8,4,2,0,35.7,417,Absent,Absent,16.6
Mysuru,State Highway,Wrong-Side Driving,Property Damage Only,2018,7,6,3,2,0,49.9,55,Non-Functional,Absent,24.5
Indore,City Ring Road,Pedestrian Jaywalking,Minor Injury,2023,1,23,3,0,0,54.6,683,Functional,Absent,29.9
Chandigarh,Expressway,Pothole,Grievous Injury,2019,1,21,4,4,0,35.5,39,Functional,Absent,22.3
Chennai,National Highway,Signal Jumping,Minor Injury,2020,12,20,3,6,0,91.7,392,Absent,Absent,27.0
Varanasi,Industrial Zone,Wrong-Side Driving,Property Damage Only,2023,9,22,2,5,0,39.9,96,Non-Functional,Present,27.7
Chennai,State Highway,Animal on Road,Property Damage Only,2024,2,10,4,0,0,56.2,609,Functional,Absent,8.4
Ranchi,Coastal Road,Over-speeding,Fatal,2021,8,5,3,6,2,55.8,815,Functional,Absent,25.0
Lucknow,Urban Arterial,Over-speeding,Minor Injury,2018,11,9,4,6,0,75.1,408,Functional,Absent,16.0
Kochi,Urban Arterial,Driver Fatigue,Grievous Injury,2022,2,3,3,3,0,65.6,612,Functional,Present,29.5
Hyderabad,State Highway,Mobile Phone Use,Fatal,2018,9,21,2,2,1,35.0,955,Non-Functional,Absent,31.2
Visakhapatnam,Coastal Road,Brake Failure,Minor Injury,2018,2,17,4,6,0,60.0,986,Functional,Present,14.2
Nashik,Industrial Zone,Pedestrian Jaywalking,Minor Injury,2022,1,2,2,3,0,34.9,867,Functional,Absent,24.3
Amritsar,City Ring Road,Drunk Driving,Grievous Injury,2023,6,13,2,5,0,51.0,204,Functional,Absent,13.2
Rajkot,Hill Road,Pedestrian Jaywalking,Property Damage Only,2023,1,21,4,0,0,28.2,576,Absent,Absent,30.4
Ahmedabad,State Highway,Rain/Wet Road,Fatal,2018,8,4,4,5,0,40.7,58,Functional,Absent,20.5
Chandigarh,Hill Road,Tyre Burst,Minor Injury,2020,4,8,2,4,0,74.7,976,Non-Functional,Absent,5.8
Pune,Hill Road,Brake Failure,Minor Injury,2020,10,23,1,0,0,71.6,255,Functional,Absent,21.2
Chennai,Hill Road,Rain/Wet Road,Grievous Injury,2021,7,12,1,0,0,46.8,348,Absent,Absent,19.5
Jaipur,State Highway,Brake Failure,Minor Injury,2021,1,11,4,0,0,84.1,609,Non-Functional,Present,15.6
Faridabad,Village Road,Pothole,Grievous Injury,2024,7,8,3,6,0,78.9,917,Functional,Absent,21.3
Nagpur,State Highway,Brake Failure,Minor Injury,2019,3,22,3,1,0,54.4,111,Absent,Absent,4.9
Hyderabad,State Highway,Rain/Wet Road,Property Damage Only,2018,2,10,1,1,0,44.1,672,Absent,Absent,20.6
Indore,Village Road,Driver Fatigue,Grievous Injury,2021,1,9,4,0,0,42.2,900,Functional,Absent,23.1
Patna,National Highway,Rain/Wet Road,Grievous Injury,2018,12,19,3,3,0,84.9,340,Non-Functional,Absent,20.2
Chennai,Hill Road,Brake Failure,Minor Injury,2021,7,11,3,4,0,42.3,991,Non-Functional,Absent,4.5
Nagpur,National Highway,Rain/Wet Road,Grievous Injury,2019,10,4,4,1,0,53.0,927,Non-Functional,Present,20.7
Raipur,Coastal Road,Poor Road Condition,Minor Injury,2023,9,23,4,4,0,44.1,111,Functional,Absent,25.0
Amritsar,City Ring Road,Overloaded Vehicle,Minor Injury,2019,10,1,3,1,0,65.3,780,Functional,Present,22.4
Kochi,Expressway,Brake Failure,Minor Injury,2019,1,11,4,1,0,53.0,534,Non-Functional,Absent,10.6
Raipur,Village Road,Drunk Driving,Minor Injury,2024,11,9,4,2,0,26.0,986,Non-Functional,Absent,17.9
Faridabad,Urban Arterial,Pothole,Minor Injury,2018,8,8,1,1,0,50.1,917,Non-Functional,Present,21.2
Bengaluru,Industrial Zone,Tyre Burst,Grievous Injury,2021,8,9,3,4,0,47.6,635,Functional,Absent,24.6
Ahmedabad,Village Road,Signal Jumping,Property Damage Only,2020,10,20,2,6,0,37.8,610,Functional,Present,8.6
Rajkot,City Ring Road,Mobile Phone Use,Grievous Injury,2023,2,19,1,4,0,85.5,126,Functional,Absent,13.3
Kanpur,Industrial Zone,Poor Road Condition,Minor Injury,2021,7,10,3,3,0,38.8,933,Non-Functional,Present,19.7
Kochi,National Highway,Rain/Wet Road,Minor Injury,2024,5,23,4,2,0,102.6,935,Absent,Absent,24.1
Patna,Village Road,Tyre Burst,Property Damage Only,2024,7,4,1,1,0,38.2,468,Absent,Present,10.7
Mysuru,Urban Arterial,Animal on Road,Property Damage Only,2018,9,2,1,2,0,60.2,905,Functional,Absent,4.0
Kolkata,Industrial Zone,Wrong-Side Driving,Minor Injury,2020,12,20,1,5,0,10.0,668,Non-Functional,Absent,9.1
Nagpur,National Highway,Poor Road Condition,Minor Injury,2022,1,8,4,6,0,34.4,21,Functional,Absent,18.2
Delhi,Hill Road,Driver Fatigue,Property Damage Only,2018,1,6,1,6,0,35.1,595,Functional,Absent,22.1
Pune,City Ring Road,Rain/Wet Road,Grievous Injury,2019,8,5,4,6,0,55.8,62,Non-Functional,Present,12.2
Kochi,City Ring Road,Signal Jumping,Fatal,2020,12,12,4,1,1,113.9,115,Non-Functional,Absent,19.1
Jodhpur,Expressway,Signal Jumping,Minor Injury,2024,9,21,1,1,0,49.4,225,Functional,Absent,17.1
Surat,Hill Road,Poor Road Condition,Fatal,2020,9,23,2,2,2,68.7,187,Non-Functional,Absent,26.3
Kochi,Industrial Zone,Drunk Driving,Minor Injury,2018,5,18,3,1,0,23.5,782,Absent,Present,42.2
Mumbai,Industrial Zone,Tyre Burst,Minor Injury,2022,1,1,3,0,0,48.3,198,Non-Functional,Absent,18.1
Raipur,Expressway,Overloaded Vehicle,Property Damage Only,2020,11,17,2,6,0,79.9,866,Non-Functional,Present,20.6
Guwahati,Hill Road,Rain/Wet Road,Fatal,2020,8,13,1,3,2,32.8,504,Absent,Absent,18.7
Bengaluru,State Highway,Signal Jumping,Minor Injury,2023,4,19,3,0,0,37.3,705,Non-Functional,Absent,18.9
Bhopal,National Highway,Brake Failure,Grievous Injury,2021,4,12,3,3,0,26.8,545,Non-Functional,Absent,18.4
Guwahati,Expressway,Rain/Wet Road,Grievous Injury,2024,3,3,3,6,0,60.7,964,Non-Functional,Present,16.7
Amritsar,City Ring Road,Overloaded Vehicle,Property Damage Only,2024,2,14,1,1,0,45.7,694,Functional,Absent,21.9
Kochi,National Highway,Fog/Low Visibility,Property Damage Only,2018,3,13,4,3,0,67.4,642,Non-Functional,Absent,20.4
Surat,Industrial Zone,Pothole,Grievous Injury,2022,1,9,2,6,0,70.0,403,Non-Functional,Present,11.4
Pune,City Ring Road,Drunk Driving,Minor Injury,2018,7,17,4,2,0,79.7,399,Absent,Absent,17.2
Rajkot,Hill Road,Drunk Driving,Minor Injury,2024,1,9,3,6,0,77.9,131,Functional,Absent,20.0
Raipur,Expressway,Tyre Burst,Grievous Injury,2022,4,23,3,6,0,24.1,529,Functional,Absent,8.1
Bhopal,Industrial Zone,Rain/Wet Road,Property Damage Only,2024,8,7,1,4,0,63.2,501,Functional,Absent,15.0
Allahabad,Industrial Zone,Rain/Wet Road,Minor Injury,2018,5,22,1,2,0,30.1,641,Non-Functional,Absent,15.1
Bengaluru,State Highway,Rain/Wet Road,Fatal,2020,3,16,4,2,3,68.9,305,Functional,Absent,17.9
Patna,Hill Road,Tyre Burst,Property Damage Only,2019,10,13,3,0,0,76.4,569,Functional,Present,29.6
Raipur,Industrial Zone,Drunk Driving,Minor Injury,2023,6,21,4,1,0,45.6,232,Non-Functional,Absent,18.0
Rajkot,National Highway,Fog/Low Visibility,Minor Injury,2024,4,5,3,4,0,22.7,389,Functional,Absent,7.0
Nagpur,Urban Arterial,Poor Road Condition,Grievous Injury,2023,12,5,3,4,0,40.0,613,Functional,Absent,16.0
Delhi,Urban Arterial,Driver Fatigue,Minor Injury,2020,8,15,2,6,0,64.6,229,Functional,Absent,12.6
Kolkata,Coastal Road,Pothole,Property Damage Only,2023,11,21,1,2,0,80.5,115,Absent,Absent,19.7
Surat,Expressway,Driver Fatigue,Property Damage Only,2018,10,12,3,5,0,77.5,386,Non-Functional,Absent,24.3
Jaipur,Hill Road,Fog/Low Visibility,Fatal,2021,2,6,2,4,0,76.1,905,Non-Functional,Absent,13.2
Rajkot,State Highway,Signal Jumping,Minor Injury,2020,1,9,1,2,0,63.3,893,Non-Functional,Present,15.8
Nagpur,Urban Arterial,Overloaded Vehicle,Minor Injury,2024,10,7,3,5,0,15.5,389,Non-Functional,Absent,28.2
Rajkot,City Ring Road,Pedestrian Jaywalking,Grievous Injury,2018,8,10,4,5,0,61.3,953,Non-Functional,Absent,9.1
Pune,Hill Road,Overloaded Vehicle,Minor Injury,2018,4,15,2,2,0,47.8,905,Non-Functional,Present,28.1
Mysuru,Coastal Road,Wrong-Side Driving,Fatal,2019,6,9,1,0,3,75.2,223,Functional,Absent,8.4
Nagpur,Urban Arterial,Tyre Burst,Grievous Injury,2022,2,6,3,2,0,35.5,600,Non-Functional,Present,21.9
Nagpur,Expressway,Tyre Burst,Property Damage Only,2021,4,8,4,3,0,91.2,404,Non-Functional,Absent,15.9
Ahmedabad,Expressway,Poor Road Condition,Grievous Injury,2019,3,7,2,3,0,54.2,417,Absent,Present,19.8
Bhopal,Village Road,Rain/Wet Road,Fatal,2024,8,3,1,3,2,58.0,658,Non-Functional,Absent,7.4
Chandigarh,Urban Arterial,Fog/Low Visibility,Minor Injury,2023,10,7,4,6,0,77.2,612,Functional,Present,21.4
Meerut,Industrial Zone,Brake Failure,Grievous Injury,2018,2,3,1,6,0,59.4,622,Functional,Absent,13.9
Kanpur,Industrial Zone,Rain/Wet Road,Grievous Injury,2024,9,4,4,4,0,90.1,768,Non-Functional,Absent,23.8
Agra,Urban Arterial,Mobile Phone Use,Minor Injury,2018,1,3,3,4,0,38.4,391,Non-Functional,Absent,28.6
Jodhpur,Coastal Road,Pedestrian Jaywalking,Fatal,2024,10,10,3,3,1,64.8,419,Absent,Present,23.7
Coimbatore,State Highway,Pedestrian Jaywalking,Minor Injury,2021,9,22,4,2,0,63.4,694,Absent,Absent,17.6
Ranchi,Industrial Zone,Tyre Burst,Property Damage Only,2020,1,0,1,6,0,34.2,934,Functional,Present,8.6
Nagpur,City Ring Road,Wrong-Side Driving,Fatal,2024,11,3,3,4,2,43.4,415,Absent,Present,17.1
Kanpur,State Highway,Animal on Road,Grievous Injury,2022,1,14,4,5,0,40.2,879,Functional,Present,11.2
Amritsar,National Highway,Animal on Road,Minor Injury,2019,3,14,4,6,0,61.5,946,Non-Functional,Absent,14.7
Surat,National Highway,Mobile Phone Use,Fatal,2022,10,21,4,0,2,56.2,513,Absent,Present,27.0
Jodhpur,Urban Arterial,Driver Fatigue,Grievous Injury,2023,10,14,4,2,0,43.5,190,Functional,Present,24.7
Indore,Village Road,Drunk Driving,Grievous Injury,2019,4,1,3,1,0,62.0,468,Functional,Present,5.6
Faridabad,Village Road,Fog/Low Visibility,Minor Injury,2021,2,0,2,5,0,20.6,906,Functional,Present,9.8
Nashik,City Ring Road,Overloaded Vehicle,Grievous Injury,2018,1,13,2,5,0,63.6,879,Non-Functional,Absent,17.8
Delhi,Village Road,Overloaded Vehicle,Minor Injury,2021,5,23,4,3,0,78.5,183,Functional,Absent,9.1
Mumbai,Industrial Zone,Overloaded Vehicle,Minor Injury,2022,12,23,2,4,0,66.1,999,Non-Functional,Absent,9.4
Visakhapatnam,State Highway,Over-speeding,Minor Injury,2024,11,16,3,6,0,43.3,203,Functional,Absent,10.7
Chennai,Industrial Zone,Pothole,Minor Injury,2018,4,23,4,0,0,62.4,882,Functional,Present,17.5
Nagpur,Urban Arterial,Wrong-Side Driving,Grievous Injury,2020,3,18,3,2,0,80.5,719,Non-Functional,Absent,18.0
Nashik,National Highway,Overloaded Vehicle,Minor Injury,2019,2,16,1,5,0,37.7,766,Non-Functional,Present,24.0
Pune,National Highway,Mobile Phone Use,Fatal,2021,3,13,1,2,1,36.6,374,Functional,Present,19.8
Nagpur,Village Road,Over-speeding,Property Damage Only,2022,11,9,4,1,0,24.5,691,Functional,Present,10.1
Varanasi,Industrial Zone,Drunk Driving,Property Damage Only,2024,10,6,1,1,0,57.0,347,Non-Functional,Present,22.2
Ranchi,Industrial Zone,Tyre Burst,Property Damage Only,2021,11,21,1,4,0,81.1,563,Absent,Present,11.4
Visakhapatnam,State Highway,Rain/Wet Road,Property Damage Only,2019,3,12,3,0,0,29.1,942,Absent,Absent,11.2
Guwahati,National Highway,Driver Fatigue,Fatal,2018,11,9,3,4,3,58.2,154,Absent,Present,10.1
Allahabad,State Highway,Signal Jumping,Grievous Injury,2020,4,20,2,1,0,44.4,787,Non-Functional,Absent,30.8
Varanasi,National Highway,Pedestrian Jaywalking,Property Damage Only,2022,5,18,4,1,0,74.9,615,Non-Functional,Present,10.0
Bengaluru,Expressway,Drunk Driving,Grievous Injury,2020,6,2,2,4,0,58.4,109,Functional,Absent,25.0
Amritsar,National Highway,Pothole,Fatal,2023,7,8,4,5,3,73.2,620,Non-Functional,Absent,28.5
Pune,Coastal Road,Brake Failure,Minor Injury,2021,8,2,2,1,0,78.3,861,Absent,Present,16.8
Allahabad,Hill Road,Mobile Phone Use,Grievous Injury,2021,1,12,1,2,0,64.6,569,Absent,Absent,17.3
Kanpur,National Highway,Animal on Road,Grievous Injury,2020,10,9,2,5,0,55.4,221,Non-Functional,Absent,11.8
Ahmedabad,Village Road,Drunk Driving,Grievous Injury,2024,6,7,4,1,0,47.8,514,Functional,Present,15.9
Jaipur,Hill Road,Signal Jumping,Minor Injury,2021,7,17,4,5,0,57.5,579,Functional,Absent,4.0
Guwahati,Urban Arterial,Over-speeding,Minor Injury,2024,12,3,4,3,0,58.7,112,Non-Functional,Present,18.7
Bhopal,Village Road,Rain/Wet Road,Property Damage Only,2021,9,14,2,4,0,63.7,256,Functional,Absent,4.5
Rajkot,Expressway,Driver Fatigue,Grievous Injury,2023,5,7,3,4,0,71.5,735,Functional,Absent,28.3
Ahmedabad,Industrial Zone,Over-speeding,Minor Injury,2023,1,2,1,3,0,65.9,659,Absent,Present,24.3
Faridabad,Hill Road,Animal on Road,Minor Injury,2024,10,16,1,1,0,51.0,206,Functional,Absent,29.1
Kochi,Coastal Road,Tyre Burst,Fatal,2023,11,3,1,0,1,34.9,139,Functional,Absent,25.5
Chennai,Urban Arterial,Mobile Phone Use,Property Damage Only,2021,7,17,2,4,0,22.6,284,Functional,Present,10.9
Allahabad,Industrial Zone,Brake Failure,Minor Injury,2018,2,3,1,3,0,58.0,276,Functional,Absent,17.1
Kolkata,Hill Road,Mobile Phone Use,Minor Injury,2022,2,17,1,3,0,40.7,153,Non-Functional,Present,4.0
Jodhpur,National Highway,Overloaded Vehicle,Fatal,2021,10,23,4,3,2,70.8,203,Functional,Present,16.8
Visakhapatnam,Hill Road,Brake Failure,Minor Injury,2022,7,10,4,1,0,42.6,210,Absent,Absent,16.9
Amritsar,Urban Arterial,Pothole,Minor Injury,2019,11,0,3,3,0,52.3,414,Functional,Absent,18.8
Ranchi,Coastal Road,Poor Road Condition,Minor Injury,2019,12,4,4,0,0,88.4,715,Functional,Absent,11.9
Bhopal,Urban Arterial,Overloaded Vehicle,Minor Injury,2021,11,6,2,3,0,39.0,725,Non-Functional,Present,13.1
Delhi,State Highway,Mobile Phone Use,Property Damage Only,2022,5,6,1,4,0,13.3,775,Functional,Present,23.2
Jodhpur,Industrial Zone,Pedestrian Jaywalking,Fatal,2022,11,14,3,4,1,69.9,541,Functional,Absent,29.9
Chandigarh,Urban Arterial,Drunk Driving,Fatal,2018,1,23,1,1,1,42.5,907,Absent,Present,20.3
Nashik,Coastal Road,Poor Road Condition,Minor Injury,2022,7,13,3,1,0,73.5,95,Functional,Absent,28.1
Bengaluru,Urban Arterial,Drunk Driving,Fatal,2020,7,2,4,2,2,19.9,823,Functional,Absent,14.9
Bengaluru,Expressway,Wrong-Side Driving,Minor Injury,2020,6,0,3,2,0,53.2,642,Functional,Absent,14.5
